file,decision,reason,width,height,surviving_px_after_erosion,largest_blob_area,largest_blob_bbox,fill_ratio,height_ratio
1_10_treble_2png(2)_v6.png,KEEP,notehead_detected,58,413,1760,3435,58x172,0.344,0.416
1_11_bass_2png(2)_v18.png,KEEP,notehead_detected,56,408,1301,3193,56x171,0.333,0.419
1_11_treble_2png(2)_v7.png,KEEP,notehead_detected,58,413,1760,3435,58x172,0.344,0.416
1_13_bass_2png(2)_v19.png,REMOVE,blob_too_small,58,408,1,285,58x6,0.819,0.015
1_13_treble_2png(2)_v8.png,KEEP,notehead_detected,58,413,1721,3528,58x175,0.348,0.424
1_14_bass_2png(2)_v20.png,KEEP,notehead_detected,57,408,1488,3785,57x177,0.375,0.434
1_16_bass_2png(2)_v21.png,KEEP,notehead_detected,63,408,386,3619,63x174,0.33,0.426
1_16_treble_2png(2)_v9.png,REMOVE,too_thin,23,413,,,,,
1_18_treble_2png(2)_v10.png,REMOVE,blob_too_dense,249,413,5493,30218,249x183,0.663,0.443
1_20_treble_2png(2)_v11.png,REMOVE,too_thin,31,413,,,,,
1_21_treble_2png(2)_v12.png,KEEP,notehead_detected,63,413,313,3571,63x173,0.328,0.419
1_2_bass_2png(2)_v13.png,REMOVE,blob_too_small,57,408,191,280,57x6,0.819,0.015
1_2_treble_2png(2)_v1.png,KEEP,notehead_detected,58,413,1799,3508,58x174,0.348,0.421
1_3_bass_2png(2)_v14.png,KEEP,notehead_detected,62,408,303,3491,62x172,0.327,0.422
1_3_treble_2png(2)_v2.png,KEEP,notehead_detected,58,413,1799,3508,58x174,0.348,0.421
1_5_bass_2png(2)_v15.png,KEEP,notehead_detected,62,408,363,3564,62x173,0.332,0.424
1_5_treble_2png(2)_v3.png,KEEP,notehead_detected,62,413,344,3674,62x173,0.343,0.419
1_7_bass_2png(2)_v16.png,KEEP,notehead_detected,62,408,293,3207,62x172,0.301,0.422
1_7_treble_2png(2)_v4.png,KEEP,notehead_detected,58,413,1802,3785,58x177,0.369,0.429
1_8_treble_2png(2)_v5.png,KEEP,notehead_detected,58,413,1930,3897,58x177,0.38,0.429
1_9_bass_2png(2)_v17.png,KEEP,notehead_detected,62,408,384,3596,62x174,0.333,0.426
2_10_bass_2png(2)_v21.png,REMOVE,blob_too_small,63,407,1,691,63x36,0.305,0.088
2_11_treble_2png(2)_v7.png,KEEP,notehead_detected,57,414,1622,3293,57x173,0.334,0.418
2_12_treble_2png(2)_v8.png,REMOVE,too_thin,28,414,,,,,
2_28_bass_2png(2)_v22.png,KEEP,notehead_detected,62,407,405,3765,62x174,0.349,0.428
2_29_treble_2png(2)_v9.png,KEEP,notehead_detected,57,414,726,2588,57x174,0.261,0.42
2_2_bass_2png(2)_v16.png,REMOVE,blob_too_small,57,407,190,336,57x7,0.842,0.017
2_2_treble_2png(2)_v1.png,KEEP,notehead_detected,58,414,1617,3314,58x172,0.332,0.415
2_30_bass_2png(2)_v23.png,KEEP,notehead_detected,62,407,388,3655,62x174,0.339,0.428
